;Ano;Título original;Título em português;Papel;Notas
0;1980;Brubaker;;Extra;Não-creditado
1;1981;Best of Times;;Nicholas;Filme para televisão
2;1982;Fast Times at Ridgemont High;Viagem da Motocicleta;Smokey;
3;1984;Racing with the Moon;Adeus à Inocência;Nicky e Bud;
4;1984;The Cotton Club;;Vincent Dwyer;
5;1984;Birdy;;Sargento Al Columbato;
6;1986;The Boy in Blue;Fúria de Vencer;Ned Hanlan;
7;1986;Peggy Sue Got Married;Peggy Sue - Seu Passado a Espera;Charlie Bodell;
8;1987;Raising Arizona;Arizona Nunca Mais;H. I. McDunnough;
9;1987;Moonstruck;Feitiço da Lua;Ronny Cammareri;
10;1988;Never on Tuesday;Sedutores Seduzidos;Homem no carro esportivo vermelho;Não-creditado
11;1989;Vampire's Kiss;Um Estranho Vampiro;Peter Leow;
12;1990;Tempo di uccidere;;Enrico Silvestri;como Time to Kill
13;1990;Fire Birds;Apache - Helicópteros Invencíveis;Jake Preston;como Wings of the Apache
14;1990;Wild at Heart;Coração Selvagem;Marinheiro;
15;1990;Zandalee;Zandalee - Uma Mulher para Dois;Johnny;
16;1992;Honeymoon in Vegas;Lua-de-mel a Três Lua-de-Mel em Las Vegas;Jack Singer;
17;1993;Amos & Andrew;Não Chame a Polícia;Amos Odell;
18;1993;Deadfall;Engano Mortal;Eddie;
19;1994;Century of Cinema;;Ele próprio;
20;1994;Red Rock West;Morte por Encomenda Delito em Red Rock West;Michael Williams;
21;1994;Guarding Tess;O Guarda-Costas e a Primeira-Damapt: O Agente Secreto;Doug Chesnic;
22;1994;It Could Happen to You;br: Atraídos pelo Destinopt: Poderia Acontecer-te;Charlie Lang;
23;1994;Trapped in Paradise;br: Encurralados no Paraíso;Bill Firpo;
24;1995;Kiss of Death;br: O Beijo da Morte;Jovem Junior Brown;
25;1995;Leaving Las Vegas;br: Despedida em Las Vegaspt: Morrer em Las Vegas;Ben Sanderson;
26;1996;The Rock;br: A Rochapt: O Rochedo;Dr. Stanley Goodspeed;
27;1997;Con Air;br: Con Air - A Rota da Fugapt: Fortaleza Voadora;Cameron Poe;
28;1997;Face Off;br/pt: A Outra Face;Castor Troy/Sean Archer;
29;1998;City of Angels;br/pt: Cidade dos Anjos;Seth;
30;1998;Snake Eyes;br: Olhos de Serpentept: Olhos da Serpente;Rick Santoro;
31;1999;8mm;br/pt: 8 Milímetros;Tom Welles;
32;1999;Bringing Out the Dead;br: Vivendo no Limitept: Por um Fio;Frank Pierce;
